verified,suid_nm,unit_nm,county,acres,intrsc_,wtlnd_p,mtchd_r,mtchd_s,Join_Count,index,name,parking,pbtrnsp,dsbldcs,restrms,vstr_ct,showers,pcnc_ar,firepts,cmpgrnd,rv_cmp,sndy_bc,dunes,rky_shr,uplnd_b,strm_cr,wetland,bluff,by_lgn_,urbn_wf,offshr_,inlnd_r,strs_bc,pth_bch,blftp_t,blftp_p,trl_r_p,wldlf_v,swimmng,tidepol,kayakng,fishing,boating
,14224,Golden Gate National Recreation Area,Marin | San Francisco | San Mateo,30412.82983,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,27,356," Tomales Bay Trailhead,Slide Ranch,Muir Overlook,Muir Beach,Coastal Trail (Marin County),Tennessee Cove,Rodeo Beach,Marine Mammal Center (Marin Headlands),Marin Headlands Hostel,Point Bonita Lighthouse,Bird Island Overlook,Black Sand Beach,Marin Headlands,Marin Headlands Visitor Center,YMCA Point Bonita Center,Bay Area Ridge Trailhead,Golden Gate Bridge Vista Point - North,Lands End Trail,Lands End Lookout,Ocean Beach,Ocean Beach (Sloat Blvd.),Fort Funston,Mussel Rock City Park,Milagra Ridge,Sweeney Ridge,San Francisco Bay Discovery Site,Bay Area Ridge Trail (San Mateo)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1993,Sonoma Coast State Park,Sonoma,6549.559642,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,21,293," Vista Trail,Russian Gulch (Sonoma),North Jenner Beaches,Jenner Visitor Center,Willow Creek Campground,Pomo Canyon Campground,Red Hill,Goat Rock,Shell Beach (Sonoma),Wright's Beach,Gleason Beach,Portuguese Beach,Schoolhouse Beach,Carmet Beach,Coleman Beach,North Salmon Creek Beach,Bodega Dunes Day-Use Area,Bodega Dunes Campground,Bodega Head Trail / Overlook Trail,Bodega Head,South Salmon Creek Beach", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,10430,Mission Bay Park,San Diego,3897.135707,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,21,1545,"Sail Bay and Riviera Shores,Santa Clara Point,Mission Bay Sports Center,El Carmel Point,Ventura Cove,Bonita Cove,Sunset Point,Dana Landing,Vacation Isle,Ski Beach,Crown Point Shores,Campland on the Bay,De Anza Cove,Visitor Information Center (Mission Bay),East Shore,Playa Pacifica,Tecolote Shores North,Fiesta Island,South Shores Park,Bike Path (San Diego River),Dog Beach (Ocean Beach)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,14266,Point Reyes National Seashore,Marin,51505.87714,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,21,361," Point Reyes National Seashore,Inverness Ridge,Marshall Beach,Pierce Point Ranch,Tomales Point,McClures Beach,Kehoe Beach,Abbotts Lagoon,Drakes Estero,North Beach,South Beach,Point Reyes Headlands,Point Reyes Lighthouse,Chimney Rock Trailhead,Drakes Beach,Estero de Limantour,Point Reyes Hostel,Limantour Beach,Point Reyes National Seashore Visitor Center,Palomarin Trailhead,Point Blue Visitor Center", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,14070,Los Padres National Forest,Monterey | San Luis Obispo | Santa Barbara | Ventura,246954.8054,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,17,736," Bottcher's Gap,Pfeiffer Beach,Los Padres National Forest,Los Padres National Forest / Ventana Wilderness,Vicente Flat Trail,Kirk Creek Campground,Mill Creek Picnic Area,Blufftop Paths,Pacific Valley Station,Sand Dollar Beach,Plaskett Creek Campground,Jade Cove,Willow Creek Picnic Area,Treebones Resort,Shale Point,Cruickshank Trail,Salmon Creek Trail", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,14271,Redwood National Park,Del Norte | Humboldt,57226.81103,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,14,33," 'Redwood National Park (Del Norte),Crescent Beach Picnic Areas,Crescent Beach Overlook,Nickel Creek Campground,Lagoon Creek Access,Klamath Overlook (Requa Overlook),Klamath River,Flint Ridge Campground,Redwood National Park (Humboldt),Lost Man Creek,Elk Meadow,Lady Bird Johnson Grove,Thomas H. Kuchel Visitor Center,Redwood Creek Beach Picnic Are", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1558,Hearst San Simeon State Park,San Luis Obispo,1939.583924,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,12,779," Old Piedras Blancas Motel,Elephant Seal Viewing Area,Vista Point (3.5 mi. N. of San Simeon),Vista Point (5.0 mi. N. of San Simeon),William R. Hearst Memorial Beach,Coastal Discovery Center,San Simeon Creek Access,Hearst San Simeon State Park,Vista Point (Moonstone Beach Dr.),Leffingwell Landing,Shamel County Park,Overlook (Lancaster Street)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,16162,BLM,Contra Costa | Humboldt | Mendocino | San Diego | San Luis Obispo | San Mateo | Santa Barbara | Ventura,67271.68966,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,11,108," Samoa Dunes Recreation Area,Fleener Creek Beach Trail,Mattole River and Beach,Punta Gorda Lighthouse,King Range Visitor Center,King Range National Conservation Area (Humboldt),Horse Mountain Creek Campground,Tolkan Campground,Black Sands Beach,Seal Rock,King Range National Conservation Area (Mendocino", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1699,Prairie Creek Redwoods State Park,Del Norte | Humboldt,13170.68068,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,10,52,"Elk Prairie Campground,Gold Bluffs Campground,Miners Ridge Campground,Gold Bluffs Beach,Fern Canyon,Butler Creek Backpack Camp,Ossagon Creek Hike-in Campground,Carruthers Cove Trail,Coastal Trail (Humboldt),Prairie Creek Redwoods State Park", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1747,Sinkyone Wilderness State Park,Humboldt | Mendocino,8023.285183,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,8,161,"Usal Beach Campground,Anderson Gulch,Little Jackass Creek,Lost Coast Trail,Wheeler Camp,Bear Harbor,Sinkyone Wilderness State Park,Needle Rock", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1682,Pismo State Beach,San Luis Obispo,1525.028846,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,7,886," City of Pismo Beach,Pismo Beach Pier,Pismo Lake Ecological Preserve,Pismo State Beach North Beach Campground,Butterfly Trees,Pismo State Beach,Pismo Dunes Natural Preserve", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1959,MacKerricher State Park,Mendocino,2453.156129,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,7,182," Glass Beach,Pudding Creek Beach,Haul Road Access,Laguna Point,Lake Cleone,MacKerricher State Park,Ward Avenue,Ten Mile Beach and Dunes,Ten Mile River View Area", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1965,Morro Bay State Park,San Luis Obispo,2518.896293,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,7,825,"Morro Rock,Morro Bay State Park Campground,Morro Bay State Park,Morro Bay State Park Museum of Natural History,Morro Bay State Park Marina,Cabrillo Creek Trail,	Cerro Cabrillo Day Use Area", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1692,Point Mugu State Park,Ventura,13530.0138,park intersects wetland,wetland-park,intersects unknown access pt,intersects wetland access pt,6,1052," Point Mugu Beach,Point Mugu State Park,La Jolla Valley,Thornhill Broome Beach,Sycamore Canyon Campground,Sycamore Cove Beach", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1770,Tomales Bay State Park,Marin,2470.082607,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,6,350,"Tomales Bay State Park - Marshall,Tomales Bay State Park - Tomasini Point,Shell Beach (Tomales Bay State Park),Tomales Bay State Park - Millerton Point,Pebble Beach (Tomales Bay State Park),Heart's Desire Beach (Tomales Bay State Park),	Indian Beach (Tomales Bay State Park)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1787,Wilder Ranch State Park,Santa Cruz,7695.254599,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,6,554,"Wilder Ranch State Park,Ohlone Bluff Trail,Three Mile Beach,Four Mile Beach,Piggy Beach,Laguna Creek Beach,Yellow Bank Beach,Davenport Landing Beach,Davenport Bluffs,Davenport Beach,Bonny Doon Beach,Red White and Blue Beach",, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1948,Crystal Cove State Park,Orange,4021.36022,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,6,1361,"Crystal Cove State Park (Pelican Point),Crystal Cove Historic District,Crystal Cove State Park,Crystal Cove State Park (Reef Point),El Moro Visitor Center,Moro Canyon", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1443,Bolsa Chica State Beach,Orange,203.0794209,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,5,1308,"Bolsa Chica State Beach,Bolsa Chica State Beach Campground,Dog Beach (Huntington Beach),Huntington City Beach (6th Street),Huntington Beach Pier", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1554,Half Moon Bay State Beach,San Mateo,202.6083519,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,5,507," Roosevelt Beach,Dunes Beach,Venice Beach,Half Moon Bay State Beach / Francis Beach,Cowell Ranch Beach", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,34198,Martin Luther King Junior Regional Shoreline,Alameda,759.8599004,park intersects wetland,wetland-park,intersects wetland access pt,intersects wetland access pt,5,1650,"Tidewater Boating Center,Garretson Point Staging (EBRPD),Elmhurst Creek,	Doolittle Drive; Airport Channel,	Martin Luther King Jr. Regional Shoreline", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1491,Del Norte Coast Redwoods State Park,Del Norte,21974.85806,park intersects wetland,wetland-park,intersects non-wetland access pt,intersects non-wetland access pt,4,40," Mill Creek Campground,Del Norte Coast Redwoods State Park,Redwood National Park Hostel,Wilson Creek  Beach", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,1605,Lighthouse Field State Beach,Santa Cruz,42.52873662,park intersects wetland,wetland-park,intersects unknown access pt,intersects unknown access pt,4,572," Lighthouse Field State Beach,Its Beach,Santa Cruz Surfing Museum,Stairway at Surfers Memorial", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
